filepath,dataset,speaker_id,actor_gender,native_label,canonical_label,native_intensity,canonical_intensity,duration_sec
..\..\audio\datasets\ravdess\Actor_01\03-01-06-02-02-02-01.wav,ravdess,1,male,fear,fear,strong,high,3.9039166666666665
..\..\audio\datasets\ravdess\Actor_01\03-01-07-01-01-01-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.8705208333333334
..\..\audio\datasets\ravdess\Actor_01\03-01-07-01-01-02-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.9038958333333333
..\..\audio\datasets\ravdess\Actor_01\03-01-07-01-02-01-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.9038958333333333
..\..\audio\datasets\ravdess\Actor_01\03-01-07-01-02-02-01.wav,ravdess,1,male,disgust,disgust,normal,low,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_01\03-01-07-02-01-01-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.304291666666667
..\..\audio\datasets\ravdess\Actor_01\03-01-07-02-01-02-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.104104166666667
..\..\audio\datasets\ravdess\Actor_01\03-01-07-02-02-01-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.037375
..\..\audio\datasets\ravdess\Actor_01\03-01-07-02-02-02-01.wav,ravdess,1,male,disgust,disgust,strong,high,4.371020833333334
..\..\audio\datasets\ravdess\Actor_01\03-01-08-01-01-01-01.wav,ravdess,1,male,surprise,surprise,normal,low,3.403395833333333
..\..\audio\datasets\ravdess\Actor_01\03-01-08-01-01-02-01.wav,ravdess,1,male,surprise,surprise,normal,low,3.2699166666666666
..\..\audio\datasets\ravdess\Actor_01\03-01-08-01-02-01-01.wav,ravdess,1,male,surprise,surprise,normal,low,3.536875
..\..\audio\datasets\ravdess\Actor_01\03-01-08-01-02-02-01.wav,ravdess,1,male,surprise,surprise,normal,low,3.2699166666666666
..\..\audio\datasets\ravdess\Actor_01\03-01-08-02-01-01-01.wav,ravdess,1,male,surprise,surprise,strong,high,3.43675
..\..\audio\datasets\ravdess\Actor_01\03-01-08-02-01-02-01.wav,ravdess,1,male,surprise,surprise,strong,high,3.5702291666666666
..\..\audio\datasets\ravdess\Actor_01\03-01-08-02-02-01-01.wav,ravdess,1,male,surprise,surprise,strong,high,3.5035
..\..\audio\datasets\ravdess\Actor_01\03-01-08-02-02-02-01.wav,ravdess,1,male,surprise,surprise,strong,high,3.2699375
..\..\audio\datasets\ravdess\Actor_02\03-01-01-01-01-01-02.wav,ravdess,2,female,neutral,neutral,normal,low,3.6369583333333333
..\..\audio\datasets\ravdess\Actor_02\03-01-01-01-01-02-02.wav,ravdess,2,female,neutral,neutral,normal,low,3.6036041666666665
..\..\audio\datasets\ravdess\Actor_02\03-01-01-01-02-01-02.wav,ravdess,2,female,neutral,neutral,normal,low,3.7704166666666667
..\..\audio\datasets\ravdess\Actor_02\03-01-01-01-02-02-02.wav,ravdess,2,female,neutral,neutral,normal,low,3.6035833333333334
..\..\audio\datasets\ravdess\Actor_02\03-01-02-01-01-01-02.wav,ravdess,2,female,calm,neutral,normal,low,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_02\03-01-02-01-01-02-02.wav,ravdess,2,female,calm,neutral,normal,low,4.004
..\..\audio\datasets\ravdess\Actor_02\03-01-02-01-02-01-02.wav,ravdess,2,female,calm,neutral,normal,low,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_02\03-01-02-01-02-02-02.wav,ravdess,2,female,calm,neutral,normal,low,3.970625
..\..\audio\datasets\ravdess\Actor_02\03-01-02-02-01-01-02.wav,ravdess,2,female,calm,neutral,strong,high,4.137479166666667
..\..\audio\datasets\ravdess\Actor_02\03-01-02-02-01-02-02.wav,ravdess,2,female,calm,neutral,strong,high,4.037375
..\..\audio\datasets\ravdess\Actor_02\03-01-02-02-02-01-02.wav,ravdess,2,female,calm,neutral,strong,high,4.104104166666667
..\..\audio\datasets\ravdess\Actor_02\03-01-02-02-02-02-02.wav,ravdess,2,female,calm,neutral,strong,high,4.104104166666667
..\..\audio\datasets\ravdess\Actor_02\03-01-03-01-01-01-02.wav,ravdess,2,female,happy,happy,normal,low,3.6036041666666665
..\..\audio\datasets\ravdess\Actor_02\03-01-03-01-01-02-02.wav,ravdess,2,female,happy,happy,normal,low,3.7036875
..\..\audio\datasets\ravdess\Actor_02\03-01-03-01-02-01-02.wav,ravdess,2,female,happy,happy,normal,low,3.7704375
..\..\audio\datasets\ravdess\Actor_02\03-01-03-01-02-02-02.wav,ravdess,2,female,happy,happy,normal,low,3.7370833333333335
..\..\audio\datasets\ravdess\Actor_02\03-01-03-02-01-01-02.wav,ravdess,2,female,happy,happy,strong,high,3.703708333333333
..\..\audio\datasets\ravdess\Actor_02\03-01-03-02-01-02-02.wav,ravdess,2,female,happy,happy,strong,high,3.6703333333333332
..\..\audio\datasets\ravdess\Actor_02\03-01-03-02-02-01-02.wav,ravdess,2,female,happy,happy,strong,high,3.703708333333333
..\..\audio\datasets\ravdess\Actor_02\03-01-03-02-02-02-02.wav,ravdess,2,female,happy,happy,strong,high,3.8705208333333334
..\..\audio\datasets\ravdess\Actor_02\03-01-04-01-01-01-02.wav,ravdess,2,female,sad,sad,normal,low,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_02\03-01-04-01-01-02-02.wav,ravdess,2,female,sad,sad,normal,low,3.7704375
..\..\audio\datasets\ravdess\Actor_02\03-01-04-01-02-01-02.wav,ravdess,2,female,sad,sad,normal,low,3.7370625
..\..\audio\datasets\ravdess\Actor_02\03-01-04-01-02-02-02.wav,ravdess,2,female,sad,sad,normal,low,3.7704375
..\..\audio\datasets\ravdess\Actor_02\03-01-04-02-01-01-02.wav,ravdess,2,female,sad,sad,strong,high,3.7370833333333335
..\..\audio\datasets\ravdess\Actor_02\03-01-04-02-01-02-02.wav,ravdess,2,female,sad,sad,strong,high,3.7704166666666667
..\..\audio\datasets\ravdess\Actor_02\03-01-04-02-02-01-02.wav,ravdess,2,female,sad,sad,strong,high,3.7036875
..\..\audio\datasets\ravdess\Actor_02\03-01-04-02-02-02-02.wav,ravdess,2,female,sad,sad,strong,high,3.6703333333333332
..\..\audio\datasets\ravdess\Actor_02\03-01-05-01-01-01-02.wav,ravdess,2,female,angry,angry,normal,low,3.6703333333333332
..\..\audio\datasets\ravdess\Actor_02\03-01-05-01-01-02-02.wav,ravdess,2,female,angry,angry,normal,low,3.6703333333333332
..\..\audio\datasets\ravdess\Actor_02\03-01-05-01-02-01-02.wav,ravdess,2,female,angry,angry,normal,low,3.7704166666666667
..\..\audio\datasets\ravdess\Actor_02\03-01-05-01-02-02-02.wav,ravdess,2,female,angry,angry,normal,low,3.8037916666666667
..\..\audio\datasets\ravdess\Actor_02\03-01-05-02-01-01-02.wav,ravdess,2,female,angry,angry,strong,high,3.9039166666666665
..\..\audio\datasets\ravdess\Actor_02\03-01-05-02-01-02-02.wav,ravdess,2,female,angry,angry,strong,high,4.004
..\..\audio\datasets\ravdess\Actor_02\03-01-05-02-02-01-02.wav,ravdess,2,female,angry,angry,strong,high,4.004
..\..\audio\datasets\ravdess\Actor_02\03-01-05-02-02-02-02.wav,ravdess,2,female,angry,angry,strong,high,4.004
..\..\audio\datasets\ravdess\Actor_02\03-01-06-01-01-01-02.wav,ravdess,2,female,fear,fear,normal,low,3.636979166666667
..\..\audio\datasets\ravdess\Actor_02\03-01-06-01-01-02-02.wav,ravdess,2,female,fear,fear,normal,low,3.7370625
..\..\audio\datasets\ravdess\Actor_02\03-01-06-01-02-01-02.wav,ravdess,2,female,fear,fear,normal,low,3.6703333333333332
..\..\audio\datasets\ravdess\Actor_02\03-01-06-01-02-02-02.wav,ravdess,2,female,fear,fear,normal,low,3.7370625
..\..\audio\datasets\ravdess\Actor_02\03-01-06-02-01-01-02.wav,ravdess,2,female,fear,fear,strong,high,3.8037916666666667
..\..\audio\datasets\ravdess\Actor_02\03-01-06-02-01-02-02.wav,ravdess,2,female,fear,fear,strong,high,3.636979166666667
..\..\audio\datasets\ravdess\Actor_02\03-01-06-02-02-01-02.wav,ravdess,2,female,fear,fear,strong,high,3.6036041666666665
..\..\audio\datasets\ravdess\Actor_02\03-01-06-02-02-02-02.wav,ravdess,2,female,fear,fear,strong,high,3.6036041666666665
..\..\audio\datasets\ravdess\Actor_02\03-01-07-01-01-01-02.wav,ravdess,2,female,disgust,disgust,normal,low,3.6703333333333332
..\..\audio\datasets\ravdess\Actor_02\03-01-07-01-01-02-02.wav,ravdess,2,female,disgust,disgust,normal,low,3.636979166666667
..\..\audio\datasets\ravdess\Actor_02\03-01-07-01-02-01-02.wav,ravdess,2,female,disgust,disgust,normal,low,3.8705416666666665
..\..\audio\datasets\ravdess\Actor_02\03-01-07-01-02-02-02.wav,ravdess,2,female,disgust,disgust,normal,low,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_02\03-01-07-02-01-01-02.wav,ravdess,2,female,disgust,disgust,strong,high,4.137458333333333
..\..\audio\datasets\ravdess\Actor_02\03-01-07-02-01-02-02.wav,ravdess,2,female,disgust,disgust,strong,high,4.137458333333333
..\..\audio\datasets\ravdess\Actor_02\03-01-07-02-02-01-02.wav,ravdess,2,female,disgust,disgust,strong,high,4.004
..\..\audio\datasets\ravdess\Actor_02\03-01-07-02-02-02-02.wav,ravdess,2,female,disgust,disgust,strong,high,4.037375
..\..\audio\datasets\ravdess\Actor_02\03-01-08-01-01-01-02.wav,ravdess,2,female,surprise,surprise,normal,low,3.5368541666666666
..\..\audio\datasets\ravdess\Actor_02\03-01-08-01-01-02-02.wav,ravdess,2,female,surprise,surprise,normal,low,3.5368541666666666
..\..\audio\datasets\ravdess\Actor_02\03-01-08-01-02-01-02.wav,ravdess,2,female,surprise,surprise,normal,low,3.6036041666666665
..\..\audio\datasets\ravdess\Actor_02\03-01-08-01-02-02-02.wav,ravdess,2,female,surprise,surprise,normal,low,3.536875
..\..\audio\datasets\ravdess\Actor_02\03-01-08-02-01-01-02.wav,ravdess,2,female,surprise,surprise,strong,high,3.7370625
..\..\audio\datasets\ravdess\Actor_02\03-01-08-02-01-02-02.wav,ravdess,2,female,surprise,surprise,strong,high,3.7704375
..\..\audio\datasets\ravdess\Actor_02\03-01-08-02-02-01-02.wav,ravdess,2,female,surprise,surprise,strong,high,3.7370833333333335
..\..\audio\datasets\ravdess\Actor_02\03-01-08-02-02-02-02.wav,ravdess,2,female,surprise,surprise,strong,high,3.8038125
..\..\audio\datasets\ravdess\Actor_03\03-01-01-01-01-01-03.wav,ravdess,3,male,neutral,neutral,normal,low,3.4367708333333336
..\..\audio\datasets\ravdess\Actor_03\03-01-01-01-01-02-03.wav,ravdess,3,male,neutral,neutral,normal,low,3.5035
..\..\audio\datasets\ravdess\Actor_03\03-01-01-01-02-01-03.wav,ravdess,3,male,neutral,neutral,normal,low,3.5035
..\..\audio\datasets\ravdess\Actor_03\03-01-01-01-02-02-03.wav,ravdess,3,male,neutral,neutral,normal,low,3.4701458333333335
..\..\audio\datasets\ravdess\Actor_03\03-01-02-01-01-01-03.wav,ravdess,3,male,calm,neutral,normal,low,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-02-01-01-02-03.wav,ravdess,3,male,calm,neutral,normal,low,3.7370625
..\..\audio\datasets\ravdess\Actor_03\03-01-02-01-02-01-03.wav,ravdess,3,male,calm,neutral,normal,low,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-02-01-02-02-03.wav,ravdess,3,male,calm,neutral,normal,low,3.970625
..\..\audio\datasets\ravdess\Actor_03\03-01-02-02-01-01-03.wav,ravdess,3,male,calm,neutral,strong,high,4.037375
..\..\audio\datasets\ravdess\Actor_03\03-01-02-02-01-02-03.wav,ravdess,3,male,calm,neutral,strong,high,3.970645833333333
..\..\audio\datasets\ravdess\Actor_03\03-01-02-02-02-01-03.wav,ravdess,3,male,calm,neutral,strong,high,4.137458333333333
..\..\audio\datasets\ravdess\Actor_03\03-01-02-02-02-02-03.wav,ravdess,3,male,calm,neutral,strong,high,4.004
..\..\audio\datasets\ravdess\Actor_03\03-01-03-01-01-01-03.wav,ravdess,3,male,happy,happy,normal,low,3.7704166666666667
..\..\audio\datasets\ravdess\Actor_03\03-01-03-01-01-02-03.wav,ravdess,3,male,happy,happy,normal,low,3.6035833333333334
..\..\audio\datasets\ravdess\Actor_03\03-01-03-01-02-01-03.wav,ravdess,3,male,happy,happy,normal,low,3.5035
..\..\audio\datasets\ravdess\Actor_03\03-01-03-01-02-02-03.wav,ravdess,3,male,happy,happy,normal,low,3.5035
..\..\audio\datasets\ravdess\Actor_03\03-01-03-02-01-01-03.wav,ravdess,3,male,happy,happy,strong,high,4.3043125
..\..\audio\datasets\ravdess\Actor_03\03-01-03-02-01-02-03.wav,ravdess,3,male,happy,happy,strong,high,4.404395833333333
..\..\audio\datasets\ravdess\Actor_03\03-01-03-02-02-01-03.wav,ravdess,3,male,happy,happy,strong,high,4.137458333333333
..\..\audio\datasets\ravdess\Actor_03\03-01-03-02-02-02-03.wav,ravdess,3,male,happy,happy,strong,high,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-04-01-01-01-03.wav,ravdess,3,male,sad,sad,normal,low,3.6036041666666665
..\..\audio\datasets\ravdess\Actor_03\03-01-04-01-01-02-03.wav,ravdess,3,male,sad,sad,normal,low,3.5702291666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-04-01-02-01-03.wav,ravdess,3,male,sad,sad,normal,low,3.5702291666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-04-01-02-02-03.wav,ravdess,3,male,sad,sad,normal,low,3.536875
..\..\audio\datasets\ravdess\Actor_03\03-01-04-02-01-01-03.wav,ravdess,3,male,sad,sad,strong,high,3.7704375
..\..\audio\datasets\ravdess\Actor_03\03-01-04-02-01-02-03.wav,ravdess,3,male,sad,sad,strong,high,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-04-02-02-01-03.wav,ravdess,3,male,sad,sad,strong,high,3.470125
..\..\audio\datasets\ravdess\Actor_03\03-01-04-02-02-02-03.wav,ravdess,3,male,sad,sad,strong,high,3.7036875
..\..\audio\datasets\ravdess\Actor_03\03-01-05-01-01-01-03.wav,ravdess,3,male,angry,angry,normal,low,4.004
..\..\audio\datasets\ravdess\Actor_03\03-01-05-01-01-02-03.wav,ravdess,3,male,angry,angry,normal,low,4.070729166666666
..\..\audio\datasets\ravdess\Actor_03\03-01-05-01-02-01-03.wav,ravdess,3,male,angry,angry,normal,low,3.8038125
..\..\audio\datasets\ravdess\Actor_03\03-01-05-01-02-02-03.wav,ravdess,3,male,angry,angry,normal,low,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-05-02-01-01-03.wav,ravdess,3,male,angry,angry,strong,high,4.404395833333333
..\..\audio\datasets\ravdess\Actor_03\03-01-05-02-01-02-03.wav,ravdess,3,male,angry,angry,strong,high,4.404416666666667
..\..\audio\datasets\ravdess\Actor_03\03-01-05-02-02-01-03.wav,ravdess,3,male,angry,angry,strong,high,4.2375625
..\..\audio\datasets\ravdess\Actor_03\03-01-05-02-02-02-03.wav,ravdess,3,male,angry,angry,strong,high,4.5045
..\..\audio\datasets\ravdess\Actor_03\03-01-06-01-01-01-03.wav,ravdess,3,male,fear,fear,normal,low,3.7370833333333335
..\..\audio\datasets\ravdess\Actor_03\03-01-06-01-01-02-03.wav,ravdess,3,male,fear,fear,normal,low,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-06-01-02-01-03.wav,ravdess,3,male,fear,fear,normal,low,3.5035
..\..\audio\datasets\ravdess\Actor_03\03-01-06-01-02-02-03.wav,ravdess,3,male,fear,fear,normal,low,3.2032083333333334
..\..\audio\datasets\ravdess\Actor_03\03-01-06-02-01-01-03.wav,ravdess,3,male,fear,fear,strong,high,3.3033125
..\..\audio\datasets\ravdess\Actor_03\03-01-06-02-01-02-03.wav,ravdess,3,male,fear,fear,strong,high,3.9038958333333333
..\..\audio\datasets\ravdess\Actor_03\03-01-06-02-02-01-03.wav,ravdess,3,male,fear,fear,strong,high,3.3033125
..\..\audio\datasets\ravdess\Actor_03\03-01-06-02-02-02-03.wav,ravdess,3,male,fear,fear,strong,high,3.4367708333333336
..\..\audio\datasets\ravdess\Actor_03\03-01-07-01-01-01-03.wav,ravdess,3,male,disgust,disgust,normal,low,4.037375
..\..\audio\datasets\ravdess\Actor_03\03-01-07-01-01-02-03.wav,ravdess,3,male,disgust,disgust,normal,low,3.970645833333333
..\..\audio\datasets\ravdess\Actor_03\03-01-07-01-02-01-03.wav,ravdess,3,male,disgust,disgust,normal,low,3.6036041666666665
..\..\audio\datasets\ravdess\Actor_03\03-01-07-01-02-02-03.wav,ravdess,3,male,disgust,disgust,normal,low,3.7704375
..\..\audio\datasets\ravdess\Actor_03\03-01-07-02-01-01-03.wav,ravdess,3,male,disgust,disgust,strong,high,4.104104166666667
..\..\audio\datasets\ravdess\Actor_03\03-01-07-02-01-02-03.wav,ravdess,3,male,disgust,disgust,strong,high,4.104104166666667
..\..\audio\datasets\ravdess\Actor_03\03-01-07-02-02-01-03.wav,ravdess,3,male,disgust,disgust,strong,high,3.8371666666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-07-02-02-02-03.wav,ravdess,3,male,disgust,disgust,strong,high,3.9372708333333333
..\..\audio\datasets\ravdess\Actor_03\03-01-08-01-01-01-03.wav,ravdess,3,male,surprise,surprise,normal,low,3.2365625
..\..\audio\datasets\ravdess\Actor_03\03-01-08-01-01-02-03.wav,ravdess,3,male,surprise,surprise,normal,low,3.370041666666667
..\..\audio\datasets\ravdess\Actor_03\03-01-08-01-02-01-03.wav,ravdess,3,male,surprise,surprise,normal,low,3.2032083333333334
..\..\audio\datasets\ravdess\Actor_03\03-01-08-01-02-02-03.wav,ravdess,3,male,surprise,surprise,normal,low,3.5702291666666666
..\..\audio\datasets\ravdess\Actor_03\03-01-08-02-01-01-03.wav,ravdess,3,male,surprise,surprise,strong,high,3.2699375
..\..\audio\datasets\ravdess\Actor_03\03-01-08-02-01-02-03.wav,ravdess,3,male,surprise,surprise,strong,high,3.6036041666666665
..\..\audio\datasets\ravdess\Actor_03\03-01-08-02-02-01-03.wav,ravdess,3,male,surprise,surprise,strong,high,3.5035
..\..\audio\datasets\ravdess\Actor_03\03-01-08-02-02-02-03.wav,ravdess,3,male,surprise,surprise,strong,high,3.2365625
..\..\audio\datasets\ravdess\Actor_04\03-01-01-01-01-01-04.wav,ravdess,4,female,neutral,neutral,normal,low,3.3032916666666665
..\..\audio\datasets\ravdess\Actor_04\03-01-01-01-01-02-04.wav,ravdess,4,female,neutral,neutral,normal,low,3.370041666666667
..\..\audio\datasets\ravdess\Actor_04\03-01-01-01-02-01-04.wav,ravdess,4,female,neutral,neutral,normal,low,3.2699375
..\..\audio\datasets\ravdess\Actor_04\03-01-01-01-02-02-04.wav,ravdess,4,female,neutral,neutral,normal,low,3.2365625
..\..\audio\datasets\ravdess\Actor_04\03-01-02-01-01-01-04.wav,ravdess,4,female,calm,neutral,normal,low,3.8037916666666667
..\..\audio\datasets\ravdess\Actor_04\03-01-02-01-01-02-04.wav,ravdess,4,female,calm,neutral,normal,low,3.7370625
..\..\audio\datasets\ravdess\Actor_04\03-01-02-01-02-01-04.wav,ravdess,4,female,calm,neutral,normal,low,3.636979166666667
..\..\audio\datasets\ravdess\Actor_04\03-01-02-01-02-02-04.wav,ravdess,4,female,calm,neutral,normal,low,3.57025
..\..\audio\datasets\ravdess\Actor_04\03-01-02-02-01-01-04.wav,ravdess,4,female,calm,neutral,strong,high,3.970625
..\..\audio\datasets\ravdess\Actor_04\03-01-02-02-01-02-04.wav,ravdess,4,female,calm,neutral,strong,high,3.8038125
..\..\audio\datasets\ravdess\Actor_04\03-01-02-02-02-01-04.wav,ravdess,4,female,calm,neutral,strong,high,3.8037916666666667
..\..\audio\datasets\ravdess\Actor_04\03-01-02-02-02-02-04.wav,ravdess,4,female,calm,neutral,strong,high,4.037375
..\..\audio\datasets\ravdess\Actor_04\03-01-03-01-01-01-04.wav,ravdess,4,female,happy,happy,normal,low,3.5035
..\..\audio\datasets\ravdess\Actor_04\03-01-03-01-01-02-04.wav,ravdess,4,female,happy,happy,normal,low,3.5368541666666666
..\..\audio\datasets\ravdess\Actor_04\03-01-03-01-02-01-04.wav,ravdess,4,female,happy,happy,normal,low,3.5035
..\..\audio\datasets\ravdess\Actor_04\03-01-03-01-02-02-04.wav,ravdess,4,female,happy,happy,normal,low,3.4367708333333336
..\..\audio\datasets\ravdess\Actor_04\03-01-03-02-01-01-04.wav,ravdess,4,female,happy,happy,strong,high,3.8705416666666665
..\..\audio\datasets\ravdess\Actor_04\03-01-03-02-01-02-04.wav,ravdess,4,female,happy,happy,strong,high,3.5702291666666666
..\..\audio\datasets\ravdess\Actor_04\03-01-03-02-02-01-04.wav,ravdess,4,female,happy,happy,strong,high,3.6036041666666665
..\..\audio\datasets\ravdess\Actor_04\03-01-03-02-02-02-04.wav,ravdess,4,female,happy,happy,strong,high,3.7704166666666667
..\..\audio\datasets\ravdess\Actor_04\03-01-04-01-01-01-04.wav,ravdess,4,female,sad,sad,normal,low,3.370041666666667
..\..\audio\datasets\ravdess\Actor_04\03-01-04-01-01-02-04.wav,ravdess,4,female,sad,sad,normal,low,3.403395833333333
..\..\audio\datasets\ravdess\Actor_04\03-01-04-01-02-01-04.wav,ravdess,4,female,sad,sad,normal,low,3.4367708333333336
..\..\audio\datasets\ravdess\Actor_04\03-01-04-01-02-02-04.wav,ravdess,4,female,sad,sad,normal,low,3.470125
..\..\audio\datasets\ravdess\Actor_04\03-01-04-02-01-01-04.wav,ravdess,4,female,sad,sad,strong,high,3.6703333333333332
..\..\audio\datasets\ravdess\Actor_04\03-01-04-02-01-02-04.wav,ravdess,4,female,sad,sad,strong,high,3.7704375
